Framework,Translations,Success,Error from fit,Error from incorrect value range
AutoGluon,"20,768","20,760 (100.0%)",8,0
auto-sklearn,"21,852","21,713 (99.4%)",0,139
FLAML,"22,431","22,431 (100.0%)",0,0
H2O,"3,657","3,592 (98.2%)",0,65
TPOT,"44,572","41,810 (93.8%)","2,731",31
Total,"113,280","110,306 (97.4%)","2,739",235
