Source \ Target,AutoGluon,auto-sklearn,FLAML,H2O,TPOT,Total
AutoGluon,-,"1,116 / 1,116 (100.0%)","2,231 / 2,231 (100.0%)",837 / 837 (100.0%),"2,231 / 2,231 (100.0%)","6,415 / 6,415 (100.0%)"
auto-sklearn,481 / 481 (100.0%),-,"1,250 / 1,250 (100.0%)","1,765 / 1,700 (96.3%)","2,781 / 2,719 (97.8%)","6,277 / 6,150 (98.0%)"
FLAML,"1,350 / 1,350 (100.0%)",810 / 671 (82.8%),-,810 / 810 (100.0%),"1,890 / 1,890 (100.0%)","4,860 / 4,721 (97.1%)"
H2O,"18,670 / 18,662 (100.0%)","19,524 / 19,524 (100.0%)","18,670 / 18,670 (100.0%)",-,"37,670 / 34,970 (92.8%)","94,534 / 91,826 (97.1%)"
TPOT,267 / 267 (100.0%),402 / 402 (100.0%),280 / 280 (100.0%),245 / 245 (100.0%),-,"1,194 / 1,194 (100.0%)"
Total,"20,768 / 20,760 (100.0%)","21,852 / 21,713 (99.4%)","22,431 / 22,431 (100.0%)","3,657 / 3,592 (98.2%)","44,572 / 41,810 (93.8%)","113,280 / 110,306 (97.4%)"
