canonical_model,AutoGluon,auto-sklearn,FLAML,H2O,TPOT
extra_trees,-,83.3% (558),100.0% (558),-,100.0% (558)
lightgbm,-,-,75.6% (836),-,82.2% (836)
random_forest,-,83.3% (558),100.0% (558),33.3% (558),100.0% (558)
xgboost,-,-,57.1% (279),71.4% (279),71.4% (279)
